secid,date,days,delta,impl_volatility,impl_strike,impl_premium,dispersion,cp_flag,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group
101375,20190627,182,70,0.233047,115.4735,13.02007,0.014106,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,182,75,0.245265,112.1107,15.60639,0.021691,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,182,80,0.263447,107.9071,19.08641,0.031412,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,182,85,0.285257,102.6019,23.64992,0.040292,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,182,90,0.306299,95.92064,29.53764,0.047979,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,273,-90,0.174678,149.6139,26.40865,0.006631,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,273,-85,0.177939,146.0114,23.22813,0.005877,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,273,-80,0.181383,142.6844,20.45486,0.005616,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,273,-75,0.185025,139.6547,18.09284,0.005548,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,273,-70,0.188788,136.8441,16.04874,0.005645,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,273,-65,0.192746,134.1665,14.24543,0.005729,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,273,-60,0.196657,131.5419,12.60541,0.005569,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,273,-55,0.200525,128.9271,11.0963,0.00571,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,273,-50,0.204638,126.2939,9.71305,0.006228,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,273,-45,0.209219,123.5946,8.438931,0.007111,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,273,-40,0.214516,120.7789,7.265101,0.008078,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,273,-35,0.220585,117.7746,6.171184,0.009568,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,273,-30,0.228201,114.4733,5.158509,0.012932,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,273,-25,0.239338,110.6604,4.243492,0.020038,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,273,-20,0.256542,105.933,3.414116,0.030617,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,273,-15,0.278642,99.93294,2.590428,0.041248,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,273,-10,0.301237,92.34832,1.708724,0.050364,P,02581610,AXP,6199,0,1,,0,424
